Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,,,,,,
2018-01-03,,,,,,
2018-01-04,,,,,,
2018-01-05,,,,,,
2018-01-08,,,,,,
2018-01-09,,,,,,
2018-01-10,,,,,,
2018-01-11,,,,,,
2018-01-12,,,,,,
2018-01-16,,,,,,
2018-01-17,,,,,,
2018-01-18,,,,,,
2018-01-19,,,,,,
2018-01-22,,,,,,
2018-01-23,,,,,,
2018-01-24,,,,,,
2018-01-25,,,,,,
2018-01-26,,,,,,
2018-01-29,,,,,,
2018-01-30,,,,,,
2018-01-31,,,,,,
2018-02-01,,,,,,
2018-02-02,,,,,,
2018-02-05,,,,,,
2018-02-06,,,,,,
2018-02-07,,,,,,
2018-02-08,,,,,,
2018-02-09,,,,,,
2018-02-12,,,,,,
2018-02-13,,,,,,
2018-02-14,,,,,,
2018-02-15,,,,,,
2018-02-16,,,,,,
2018-02-20,,,,,,
2018-02-21,,,,,,
2018-02-22,,,,,,
2018-02-23,,,,,,
2018-02-26,,,,,,
2018-02-27,,,,,,
2018-02-28,,,,,,
2018-03-01,,,,,,
2018-03-02,,,,,,
2018-03-05,,,,,,
2018-03-06,,,,,,
2018-03-07,,,,,,
2018-03-08,,,,,,
2018-03-09,,,,,,
2018-03-12,,,,,,
2018-03-13,,,,,,
2018-03-14,,,,,,
2018-03-15,,,,,,
2018-03-16,,,,,,
2018-03-19,,,,,,
2018-03-20,,,,,,
2018-03-21,,,,,,
2018-03-22,,,,,,
2018-03-23,,,,,,
2018-03-26,,,,,,
2018-03-27,,,,,,
2018-03-28,,,,,,
2018-03-29,,,,,,
2018-04-02,,,,,,
2018-04-03,,,,,,
2018-04-04,,,,,,
2018-04-05,,,,,,
2018-04-06,,,,,,
2018-04-09,,,,,,
2018-04-10,,,,,,
2018-04-11,,,,,,
2018-04-12,,,,,,
2018-04-13,,,,,,
2018-04-16,,,,,,
2018-04-17,,,,,,
2018-04-18,,,,,,
2018-04-19,,,,,,
2018-04-20,,,,,,
2018-04-23,,,,,,
2018-04-24,,,,,,
2018-04-25,,,,,,
2018-04-26,,,,,,
2018-04-27,,,,,,
2018-04-30,,,,,,
2018-05-01,,,,,,
2018-05-02,,,,,,
2018-05-03,,,,,,
2018-05-04,,,,,,
2018-05-07,,,,,,
2018-05-08,,,,,,
2018-05-09,,,,,,
2018-05-10,,,,,,
2018-05-11,,,,,,
2018-05-14,,,,,,
2018-05-15,,,,,,
2018-05-16,,,,,,
2018-05-17,,,,,,
2018-05-18,,,,,,
2018-05-21,,,,,,
2018-05-22,,,,,,
2018-05-23,,,,,,
2018-05-24,,,,,,
2018-05-25,,,,,,
2018-05-29,,,,,,
2018-05-30,,,,,,
2018-05-31,,,,,,
2018-06-01,,,,,,
2018-06-04,,,,,,
2018-06-05,,,,,,
2018-06-06,,,,,,
2018-06-07,,,,,,
2018-06-08,,,,,,
2018-06-11,,,,,,
2018-06-12,,,,,,
2018-06-13,,,,,,
2018-06-14,,,,,,
2018-06-15,,,,,,
2018-06-18,,,,,,
2018-06-19,,,,,,
2018-06-20,,,,,,
2018-06-21,,,,,,
2018-06-22,,,,,,
2018-06-25,,,,,,
2018-06-26,,,,,,
2018-06-27,,,,,,
2018-06-28,,,,,,
2018-06-29,25.260000228881836,25.270000457763672,25.079999923706055,25.209999084472656,23.343780517578125,298200.0
2018-07-02,25.309999465942383,25.309999465942383,25.200000762939453,25.209999084472656,23.343780517578125,3200.0
2018-07-03,25.350000381469727,25.350000381469727,25.304000854492188,25.304000854492188,23.43082046508789,6800.0
2018-07-05,25.200000762939453,25.49799919128418,25.200000762939453,25.49799919128418,23.61046028137207,2300.0
2018-07-06,25.690000534057617,25.690000534057617,25.690000534057617,25.690000534057617,23.78824806213379,100.0
2018-07-09,26.190000534057617,26.190000534057617,25.66699981689453,25.670000076293945,23.76972007751465,11100.0
2018-07-10,25.805999755859375,25.948999404907227,25.739999771118164,25.739999771118164,23.834537506103516,18700.0
