Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,920.0,920.0,800.0,840.0,840.0,208
2018-01-03,840.0,880.0,800.0,840.0,840.0,95
2018-01-04,880.0,920.0,840.0,920.0,920.0,237
2018-01-05,880.0,960.0,880.0,920.0,920.0,185
2018-01-08,960.0,960.0,880.0,920.0,920.0,103
2018-01-09,880.0,920.0,840.0,880.0,880.0,157
2018-01-10,880.0,920.0,880.0,880.0,880.0,185
2018-01-11,920.0,960.0,880.0,960.0,960.0,234
2018-01-12,960.0,960.0,880.0,920.0,920.0,153
2018-01-16,880.0,920.0,800.0,880.0,880.0,180
2018-01-17,840.0,880.0,800.0,840.0,840.0,82
2018-01-18,840.0,880.0,800.0,840.0,840.0,119
2018-01-19,880.0,880.0,840.0,880.0,880.0,100
2018-01-22,800.0,920.0,800.0,880.0,880.0,187
2018-01-23,920.0,920.0,880.0,920.0,920.0,102
2018-01-24,920.0,920.0,880.0,920.0,920.0,122
2018-01-25,920.0,960.0,880.0,960.0,960.0,160
2018-01-26,960.0,1040.0,920.0,960.0,960.0,234
2018-01-29,1000.0,1040.0,920.0,1000.0,1000.0,891
2018-01-30,1000.0,1000.0,880.0,920.0,920.0,278
2018-01-31,960.0,960.0,800.0,840.0,840.0,411
2018-02-01,880.0,880.0,800.0,800.0,800.0,161
2018-02-02,840.0,840.0,720.0,760.0,760.0,387
2018-02-05,760.0,800.0,720.0,800.0,800.0,229
2018-02-06,840.0,840.0,800.0,800.0,800.0,175
2018-02-07,840.0,840.0,720.0,760.0,760.0,164
2018-02-08,800.0,800.0,760.0,760.0,760.0,192
2018-02-09,728.0,932.0,620.0,740.0,740.0,1963
2018-02-12,760.0,836.0,700.0,772.0,772.0,1120
2018-02-13,768.0,768.0,700.0,728.0,728.0,263
2018-02-14,720.0,720.0,620.0,668.0,668.0,329
2018-02-15,664.0,692.0,632.0,640.0,640.0,294
2018-02-16,636.0,656.0,616.0,632.0,632.0,196
2018-02-20,620.0,656.0,620.0,652.0,652.0,116
2018-02-21,660.0,700.0,648.0,664.0,664.0,186
2018-02-22,676.0,684.0,644.0,664.0,664.0,129
2018-02-23,696.0,696.0,620.0,648.0,648.0,157
2018-02-26,648.0,676.0,620.0,656.0,656.0,174
2018-02-27,652.0,692.0,648.0,672.0,672.0,190
2018-02-28,668.0,700.0,656.0,676.0,676.0,164
2018-03-01,680.0,684.0,644.0,672.0,672.0,116
2018-03-02,660.0,672.0,644.0,664.0,664.0,86
2018-03-05,668.0,740.0,668.0,720.0,720.0,471
2018-03-06,724.0,728.0,688.0,704.0,704.0,202
2018-03-07,704.0,728.0,692.0,696.0,696.0,230
2018-03-08,700.0,752.0,696.0,748.0,748.0,402
2018-03-09,744.0,760.0,696.0,724.0,724.0,190
2018-03-12,732.0,760.0,720.0,748.0,748.0,212
2018-03-13,764.0,792.0,740.0,756.0,756.0,251
2018-03-14,732.0,760.0,680.0,684.0,684.0,264
2018-03-15,796.0,796.0,684.0,732.0,732.0,138
2018-03-16,728.0,752.0,688.0,748.0,748.0,108
2018-03-19,760.0,760.0,720.0,752.0,752.0,80
2018-03-20,748.0,748.0,692.0,696.0,696.0,110
2018-03-21,680.0,716.0,680.0,696.0,696.0,97
2018-03-22,692.0,708.0,692.0,708.0,708.0,50
