Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,169.0,183.0,167.0,178.0,178.0,37785
2018-01-03,177.0,178.0,172.0,172.0,172.0,12792
2018-01-04,174.0,177.5,168.0,174.0,174.0,20713
2018-01-05,175.0,180.0,168.0,171.0,171.0,11793
2018-01-08,170.0,172.0,164.0,168.0,168.0,15684
2018-01-09,167.0,175.0,165.0,172.0,172.0,14569
2018-01-10,170.0,176.0,167.89999389648438,173.5,173.5,24755
2018-01-11,175.0,175.0,169.0,172.0,172.0,15173
2018-01-12,172.0,174.5,170.0,171.0,171.0,11942
2018-01-16,172.0,173.0,158.0,161.0,161.0,22206
2018-01-17,163.0,171.0,161.5,170.0,170.0,20079
2018-01-18,168.0,168.0,162.0,167.0,167.0,13996
2018-01-19,166.0,170.0,159.0,168.0,168.0,15660
2018-01-22,169.0,174.0,166.0,167.0,167.0,22830
2018-01-23,166.0,172.0,166.0,170.0,170.0,17451
2018-01-24,170.0,171.0,163.0,166.0,166.0,10853
2018-01-25,169.0,170.0,162.0,169.0,169.0,6713
2018-01-26,169.0,171.0,164.0,166.0,166.0,16555
2018-01-29,166.0,167.5,160.0,164.0,164.0,12894
2018-01-30,161.0,164.5,154.0,159.0,159.0,57033
2018-01-31,160.0,166.0,157.0,160.0,160.0,16701
2018-02-01,158.0,161.0,150.0,151.0,151.0,23430
2018-02-02,150.0,154.0,141.0,147.0,147.0,40315
2018-02-05,148.0,150.0,135.0,140.0,140.0,27739
2018-02-06,138.0,156.58999633789062,135.3260040283203,154.0,154.0,63851
2018-02-07,155.0,156.0,145.0,149.0,149.0,25923
2018-02-08,149.0,151.25999450683594,141.0,141.0,141.0,24074
2018-02-09,143.0,150.0,131.3800048828125,146.0,146.0,37309
2018-02-12,146.0,148.0,136.0,138.0,138.0,19771
2018-02-13,137.0,144.5,136.0,141.5,141.5,26659
2018-02-14,141.0,149.0,139.0,142.0,142.0,28384
2018-02-15,143.0,144.89999389648438,137.0,139.0,139.0,22244
2018-02-16,150.0,174.0,150.0,162.0,162.0,176135
2018-02-20,162.0,172.0,152.0,154.0,154.0,52592
2018-02-21,155.0,165.89999389648438,152.0,162.0,162.0,25215
2018-02-22,160.0,164.0,156.5,161.0,161.0,18914
2018-02-23,161.0,162.0,155.0,160.0,160.0,13549
2018-02-26,161.0,168.0,160.0,162.0,162.0,21250
