Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,90.0,90.0,85.0,85.0,85.0,321
2018-01-03,85.0,85.0,85.0,85.0,85.0,345
2018-01-04,85.0,100.0,85.0,100.0,100.0,2712
2018-01-05,385.0,725.0,205.0,235.0,235.0,78619
2018-01-08,240.0,295.0,205.0,290.0,290.0,19095
2018-01-09,295.0,330.0,250.0,255.0,255.0,7741
2018-01-10,245.0,280.0,215.0,235.0,235.0,4014
2018-01-11,225.0,275.0,215.0,265.0,265.0,8687
2018-01-12,310.0,310.0,220.0,245.0,245.0,5001
2018-01-16,230.0,245.0,215.0,220.0,220.0,2870
2018-01-17,220.0,230.0,210.0,215.0,215.0,1548
2018-01-18,220.0,230.0,190.0,205.0,205.0,3965
2018-01-19,200.0,205.0,165.0,185.0,185.0,2481
2018-01-22,185.0,185.0,155.0,180.0,180.0,1990
2018-01-23,180.0,205.0,170.0,185.0,185.0,1816
2018-01-24,185.0,200.0,185.0,190.0,190.0,1138
2018-01-25,195.0,195.0,180.0,185.0,185.0,1063
2018-01-26,180.0,200.0,170.0,185.0,185.0,1699
2018-01-29,185.0,190.0,170.0,170.0,170.0,620
2018-01-30,180.0,180.0,160.0,170.0,170.0,745
2018-01-31,170.0,180.0,165.0,165.0,165.0,691
2018-02-01,165.0,180.0,155.0,170.0,170.0,1199
2018-02-02,180.0,180.0,160.0,165.0,165.0,545
2018-02-05,155.0,175.0,155.0,165.0,165.0,504
2018-02-06,150.0,165.0,145.0,155.0,155.0,917
2018-02-07,155.0,165.0,140.0,160.0,160.0,1601
2018-02-08,160.0,170.0,140.0,140.0,140.0,1267
2018-02-09,135.0,145.0,130.0,140.0,140.0,784
2018-02-12,135.0,160.0,135.0,160.0,160.0,2165
2018-02-13,140.0,175.0,140.0,165.0,165.0,1713
2018-02-14,175.0,175.0,150.0,165.0,165.0,798
2018-02-15,160.0,175.0,155.0,160.0,160.0,410
2018-02-16,165.0,170.0,160.0,165.0,165.0,372
2018-02-20,175.0,175.0,160.0,160.0,160.0,758
2018-02-21,160.0,175.0,155.0,170.0,170.0,860
2018-02-22,175.0,225.0,165.0,200.0,200.0,6269
2018-02-23,220.0,235.0,200.0,210.0,210.0,5016
2018-02-26,220.0,220.0,190.0,195.0,195.0,2099
2018-02-27,200.0,200.0,170.0,180.0,180.0,1421
2018-02-28,170.0,195.0,170.0,190.0,190.0,1220
2018-03-01,175.0,195.0,175.0,180.0,180.0,1318
2018-03-02,180.0,190.0,180.0,185.0,185.0,601
2018-03-05,185.0,195.0,185.0,195.0,195.0,1006
2018-03-06,195.0,215.0,190.0,200.0,200.0,1809
2018-03-07,195.0,195.0,180.0,190.0,190.0,994
2018-03-08,190.0,190.0,175.0,185.0,185.0,1251
2018-03-09,190.0,190.0,175.0,175.0,175.0,894
2018-03-12,180.0,185.0,155.0,185.0,185.0,705
2018-03-13,190.0,190.0,180.0,185.0,185.0,443
2018-03-14,185.0,185.0,175.0,180.0,180.0,1013
2018-03-15,180.0,185.0,165.0,165.0,165.0,855
2018-03-16,180.0,190.0,160.0,165.0,165.0,1435
2018-03-19,175.0,175.0,160.0,165.0,165.0,945
2018-03-20,165.0,185.0,165.0,170.0,170.0,1173
2018-03-21,175.0,180.0,170.0,170.0,170.0,846
2018-03-22,170.0,175.0,160.0,165.0,165.0,371
2018-03-23,165.0,170.0,165.0,165.0,165.0,345
2018-03-26,165.0,175.0,165.0,165.0,165.0,544
2018-03-27,165.0,170.0,165.0,165.0,165.0,318
2018-03-28,165.0,165.0,150.0,150.0,150.0,602
2018-03-29,155.0,160.0,150.0,160.0,160.0,235
2018-04-02,165.0,165.0,155.0,160.0,160.0,302
2018-04-03,150.0,155.0,125.0,140.0,140.0,1293
2018-04-04,140.0,150.0,130.0,135.0,135.0,745
2018-04-05,135.0,150.0,130.0,140.0,140.0,381
2018-04-06,145.0,155.0,135.0,140.0,140.0,637
2018-04-09,145.0,150.0,130.0,140.0,140.0,703
2018-04-10,140.0,150.0,135.0,140.0,140.0,753
2018-04-11,145.0,165.0,135.0,145.0,145.0,2055
2018-04-12,150.0,160.0,140.0,155.0,155.0,1303
2018-04-13,165.0,165.0,150.0,155.0,155.0,739
2018-04-16,150.0,160.0,145.0,155.0,155.0,604
2018-04-17,155.0,165.0,145.0,150.0,150.0,519
2018-04-18,145.0,165.0,145.0,155.0,155.0,434
2018-04-19,160.0,175.0,150.0,160.0,160.0,2977
2018-04-20,160.0,160.0,150.0,150.0,150.0,408
2018-04-23,155.0,165.0,150.0,155.0,155.0,599
2018-04-24,155.0,160.0,150.0,155.0,155.0,464
2018-04-25,155.0,155.0,140.0,150.0,150.0,679
2018-04-26,150.0,150.0,135.0,140.0,140.0,729
2018-04-27,140.0,140.0,135.0,140.0,140.0,424
2018-04-30,140.0,140.0,135.0,135.0,135.0,155
2018-05-01,135.0,145.0,130.0,135.0,135.0,838
2018-05-02,140.0,140.0,130.0,135.0,135.0,716
2018-05-03,140.0,145.0,130.0,135.0,135.0,822
2018-05-04,140.0,155.0,130.0,140.0,140.0,2846
2018-05-07,135.0,135.0,135.0,135.0,135.0,320
2018-05-08,135.0,135.0,130.0,130.0,130.0,399
2018-05-09,130.0,140.0,130.0,135.0,135.0,588
2018-05-10,135.0,135.0,130.0,130.0,130.0,307
2018-05-11,145.0,145.0,135.0,135.0,135.0,230
2018-05-14,140.0,140.0,135.0,140.0,140.0,279
2018-05-15,140.0,140.0,130.0,135.0,135.0,591
2018-05-16,135.0,140.0,130.0,135.0,135.0,281
2018-05-17,135.0,135.0,135.0,135.0,135.0,173
2018-05-18,140.0,140.0,135.0,140.0,140.0,156
2018-05-21,145.0,160.0,130.0,140.0,140.0,1876
2018-05-22,140.0,140.0,130.0,140.0,140.0,618
2018-05-23,135.0,150.0,135.0,140.0,140.0,353
2018-05-24,135.0,145.0,135.0,140.0,140.0,126
2018-05-25,145.0,145.0,135.0,145.0,145.0,69
2018-05-29,145.0,145.0,135.0,140.0,140.0,314
2018-05-30,140.0,140.0,135.0,140.0,140.0,132
2018-05-31,135.0,140.0,135.0,135.0,135.0,174
2018-06-01,135.0,135.0,135.0,135.0,135.0,243
2018-06-04,135.0,135.0,120.0,130.0,130.0,1071
2018-06-05,130.0,130.0,125.0,125.0,125.0,223
2018-06-06,125.0,130.0,125.0,130.0,130.0,226
2018-06-07,130.0,130.0,125.0,130.0,130.0,207
2018-06-08,125.0,135.0,125.0,125.0,125.0,236
2018-06-11,125.0,130.0,125.0,125.0,125.0,200
2018-06-12,125.0,130.0,125.0,125.0,125.0,321
2018-06-13,130.0,130.0,125.0,125.0,125.0,172
2018-06-14,125.0,125.0,125.0,125.0,125.0,152
2018-06-15,125.0,125.0,125.0,125.0,125.0,240
2018-06-18,125.0,125.0,120.0,120.0,120.0,208
2018-06-19,105.0,120.0,105.0,115.0,115.0,453
2018-06-20,115.0,115.0,115.0,115.0,115.0,115
2018-06-21,115.0,120.0,110.0,115.0,115.0,196
2018-06-22,120.0,120.0,105.0,110.0,110.0,169
2018-06-25,105.0,110.0,100.0,105.0,105.0,155
2018-06-26,105.0,115.0,105.0,110.0,110.0,133
2018-06-27,105.0,120.0,105.0,115.0,115.0,462
2018-06-28,110.0,115.0,100.0,115.0,115.0,199
2018-06-29,115.0,115.0,105.0,110.0,110.0,98
2018-07-02,105.0,110.0,105.0,110.0,110.0,249
2018-07-03,115.0,115.0,105.0,115.0,115.0,72
2018-07-05,110.0,110.0,110.0,110.0,110.0,109
2018-07-06,110.0,115.0,110.0,110.0,110.0,124
2018-07-09,110.0,125.0,110.0,120.0,120.0,683
2018-07-10,130.0,130.0,125.0,130.0,130.0,351
2018-07-11,130.0,130.0,125.0,125.0,125.0,216
2018-07-12,130.0,130.0,125.0,130.0,130.0,140
2018-07-13,125.0,130.0,125.0,125.0,125.0,78
2018-07-16,130.0,135.0,125.0,125.0,125.0,230
2018-07-17,130.0,130.0,120.0,120.0,120.0,157
2018-07-18,125.0,125.0,115.0,120.0,120.0,265
2018-07-19,110.0,125.0,110.0,125.0,125.0,143
2018-07-20,125.0,125.0,110.0,120.0,120.0,169
2018-07-23,120.0,125.0,120.0,120.0,120.0,85
2018-07-24,125.0,125.0,110.0,120.0,120.0,303
2018-07-25,125.0,125.0,115.0,120.0,120.0,232
2018-07-26,115.0,125.0,115.0,125.0,125.0,324
2018-07-27,130.0,135.0,125.0,130.0,130.0,1052
2018-07-30,140.0,140.0,125.0,130.0,130.0,443
2018-07-31,130.0,135.0,125.0,130.0,130.0,257
2018-08-01,135.0,135.0,125.0,130.0,130.0,150
2018-08-02,130.0,140.0,125.0,130.0,130.0,186
2018-08-03,130.0,130.0,125.0,130.0,130.0,67
2018-08-06,110.0,130.0,110.0,120.0,120.0,303
2018-08-07,125.0,125.0,120.0,120.0,120.0,174
2018-08-08,120.0,120.0,110.0,120.0,120.0,256
