Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,71.0,77.0,70.0,74.0,74.0,17531
2018-01-03,75.0,77.0,73.0,74.0,74.0,5760
2018-01-04,76.0,76.0,71.0,73.0,73.0,13178
2018-01-05,75.0,76.0,72.0,73.0,73.0,7091
2018-01-08,73.0,75.0,68.0,68.0,68.0,23751
2018-01-09,70.0,71.0,67.0,68.0,68.0,10323
2018-01-10,68.0,71.0,67.0,69.0,69.0,18852
2018-01-11,70.0,73.0,69.0,70.0,70.0,15583
2018-01-12,71.0,76.0,69.0,74.0,74.0,20047
2018-01-16,74.0,82.0,74.0,76.0,76.0,32295
2018-01-17,77.0,80.0,71.0,72.0,72.0,22458
2018-01-18,73.0,73.0,67.0,69.0,69.0,17950
2018-01-19,70.0,72.0,68.0,70.0,70.0,10536
2018-01-22,71.0,73.0,69.0,69.0,69.0,12340
2018-01-23,70.0,76.0,68.0,75.0,75.0,25571
2018-01-24,76.0,76.0,71.0,71.0,71.0,16328
2018-01-25,72.0,73.0,70.0,70.0,70.0,9743
2018-01-26,70.0,72.0,70.0,71.0,71.0,9233
2018-01-29,71.0,72.0,69.0,70.0,70.0,12794
2018-01-30,70.0,70.0,67.0,67.0,67.0,12321
2018-01-31,67.0,69.0,61.0,62.0,62.0,27156
2018-02-01,63.0,65.0,59.0,60.0,60.0,19634
2018-02-02,60.0,61.0,57.0,59.0,59.0,12503
2018-02-05,59.0,61.0,56.0,56.0,56.0,9541
2018-02-06,56.0,59.0,54.0,58.0,58.0,17427
2018-02-07,58.0,60.0,56.0,58.0,58.0,9449
2018-02-08,58.0,59.0,55.0,55.0,55.0,9703
2018-02-09,56.0,56.0,48.0,52.0,52.0,20824
2018-02-12,53.0,56.0,51.0,55.0,55.0,10252
2018-02-13,55.0,56.0,52.0,53.0,53.0,9450
2018-02-14,54.0,55.0,52.0,54.0,54.0,6259
2018-02-15,55.0,59.0,54.0,55.0,55.0,20917
2018-02-16,56.0,57.0,54.0,55.0,55.0,9082
2018-02-20,55.0,56.0,54.0,54.0,54.0,9338
2018-02-21,55.0,57.0,53.0,53.0,53.0,8535
2018-02-22,54.0,54.0,49.0,50.0,50.0,17402
2018-02-23,50.0,52.0,47.0,50.0,50.0,13249
2018-02-26,50.0,53.0,48.0,49.0,49.0,9950
2018-02-27,49.0,51.0,48.0,49.0,49.0,30957
2018-02-28,49.0,51.0,47.0,50.0,50.0,7462
2018-03-01,49.0,50.0,48.0,48.0,48.0,9730
2018-03-02,49.0,53.0,47.0,52.0,52.0,15999
2018-03-05,56.0,64.0,54.0,59.0,59.0,49250
2018-03-06,63.0,64.0,55.0,60.0,60.0,38008
2018-03-07,59.0,60.0,56.0,57.0,57.0,14360
2018-03-08,64.0,75.0,62.0,75.0,75.0,121747
2018-03-09,74.0,85.0,72.0,83.0,83.0,65248
2018-03-12,85.0,104.0,84.0,98.0,98.0,124439
2018-03-13,98.0,99.0,82.0,82.0,82.0,57078
2018-03-14,85.0,85.0,72.0,81.0,81.0,53123
2018-03-15,80.0,82.0,76.0,77.0,77.0,11203
2018-03-16,78.0,78.0,73.0,74.0,74.0,28444
2018-03-19,74.0,75.0,68.0,73.0,73.0,20089
2018-03-20,74.0,74.0,69.0,71.0,71.0,14577
2018-03-21,72.0,82.0,71.0,81.0,81.0,37934
2018-03-22,80.0,81.0,76.0,76.0,76.0,18263
2018-03-23,75.0,76.0,71.0,71.0,71.0,18270
2018-03-26,69.0,70.0,65.0,68.0,68.0,22244
2018-03-27,68.0,71.0,66.0,67.0,67.0,13507
2018-03-28,67.0,68.0,63.0,67.0,67.0,10242
2018-03-29,68.0,68.0,64.0,65.0,65.0,12987
2018-04-02,66.0,66.0,56.0,57.0,57.0,29036
2018-04-03,58.0,60.0,56.0,56.0,56.0,16771
2018-04-04,56.0,59.0,52.0,57.0,57.0,16054
2018-04-05,58.0,58.0,55.0,57.0,57.0,12513
2018-04-06,56.0,59.0,53.0,54.0,54.0,14580
2018-04-09,54.0,55.0,51.0,51.0,51.0,15418
2018-04-10,51.0,69.0,50.0,67.0,67.0,39217
2018-04-11,69.0,70.0,60.0,64.0,64.0,22127
2018-04-12,64.0,65.0,61.0,63.0,63.0,13133
2018-04-13,63.0,63.0,60.0,61.0,61.0,12280
2018-04-16,61.0,63.0,59.0,60.0,60.0,9633
2018-04-17,61.0,65.0,59.0,62.0,62.0,15748
2018-04-18,63.0,63.0,58.0,60.0,60.0,9905
2018-04-19,60.0,61.0,58.0,59.0,59.0,5726
2018-04-20,59.0,59.0,56.0,56.0,56.0,5387
2018-04-23,57.0,57.0,54.0,54.0,54.0,7971
2018-04-24,55.0,56.0,52.0,53.0,53.0,9544
2018-04-25,53.0,55.0,52.0,54.0,54.0,5012
2018-04-26,55.0,57.0,53.0,56.0,56.0,8130
2018-04-27,57.0,57.0,53.0,53.0,53.0,7803
2018-04-30,54.0,55.0,52.0,53.0,53.0,7609
2018-05-01,55.0,58.0,53.0,57.0,57.0,9698
2018-05-02,59.0,59.0,56.0,56.0,56.0,10662
2018-05-03,56.0,56.0,50.0,50.0,50.0,26728
2018-05-04,50.0,52.0,50.0,50.0,50.0,13031
2018-05-07,52.0,53.0,50.0,51.0,51.0,10249
2018-05-08,51.0,51.0,49.0,49.0,49.0,13174
2018-05-09,50.0,51.0,49.0,51.0,51.0,10030
2018-05-10,51.0,53.0,50.0,52.0,52.0,8169
2018-05-11,52.0,54.0,51.0,52.0,52.0,10330
2018-05-14,53.0,62.0,52.0,61.0,61.0,32330
2018-05-15,61.0,62.0,56.0,56.0,56.0,15412
2018-05-16,57.0,58.0,52.0,56.0,56.0,9062
2018-05-17,56.0,58.0,54.0,55.0,55.0,5925
2018-05-18,57.0,57.0,54.0,55.0,55.0,7517
2018-05-21,55.0,55.0,50.0,51.0,51.0,16634
2018-05-22,51.0,55.0,51.0,53.0,53.0,8816
